Name,Game Played,Minutes,FGM,FGA,FTM,FTA,3PM,3PA,PTS,OR,DR,REB,AST,TO,STL,BLK
J. Jaquez Jr,37,1229,261,543,104,135,33,104,659,95,209,304,87,67,57,22
T. Campbell,37,1188,171,452,101,118,53,157,496,17,79,96,186,58,46,
J. Clark,30,914,148,308,67,96,26,79,389,58,123,181,56,37,78,8
A. Bailey,30,807,135,273,44,63,21,54,335,25,89,114,65,73,34,9
D. Singleton,37,1043,108,253,45,53,73,172,334,20,84,104,40,17,41,7
A. Bona,33,756,104,154,47,82,,,255,74,100,174,24,44,19,57
D. Andrews,36,389,46,107,14,21,13,41,119,8,31,39,33,17,11,2
A. Canka,22,120,12,27,4,4,5,10,33,9,7,16,4,6,4,1
E. Manjikian,2,3,1,2,,,1,2,3,,1,1,,,,
K. Nwuba,35,439,20,32,7,11,,,47,28,30,58,12,14,5,21
M. Etienne,32,218,17,38,6,16,,,40,26,36,62,7,4,6,15
W. McClendon,27,252,10,49,6,10,2,28,28,5,26,31,22,5,9,
R. Stong,11,22,0,6,4,5,,4,4,1,7,8,,,,
L. Cremonesi,9,20,0,1,1,2,,,1,1,1,2,2,2,,